"Film/actor","Alexander Pavlov","Ao Yang","Bi Yanjun","Cao Kefan","Chang Chun","Chang Xueren","Chen Baoguo","Chen Daoming","Chen Fan","Chen Hao","Chen Hong","Chen Kaige","Chen Kun","Chen Shu","Chen Weichen","Chen Xiaoyi","Cheng Long (Jackie Chan)","Cong Zhijun","Cui Luosui","Cui Qianmei","Da Shichang","Dang Aimin","Deng Chao","Ding Jiali","Ding Zhicheng","Donald Eugene McCoy","Donald Freeman","Dong Yong","Fan Wei","Feng Gong","Feng Xiaogang","Feng Yuanzheng","Fu Biao","Fu Lili","Fu Xiangbo","Gao Lancun","Gao Ming","Gao Mingjun","Gao Shuguang","Gao Zhenhu","Ge Cunzhuang","Ge Hui","Ge You","Ge Zhijun","Gerhard Olschewski","Gong Hanlin","Gong Jinghua","Gu Baoming","Guo Degang","Guo Donglin","Guo Xiaodong","Han Bingjie","Hao Chen","Hao Hanfeng","He Changyu","He Saifei","Hei Mei","Hou Chuangao","Hou Yaqi","Hu Jun","Huang Shengyi","Huang Wei","Huang Xiaoming","Ji Jiao","Ji Qiao","Jia Ni","Jiang Shan","Jiang Wen","Jin Fuli","Jin Xin","Ju Hao","Kan Lijun","Kang Aishi","Kunio Yoshida","Lai Ming","Lau Andy (Liu Dehua)","Lei Kesheng","Leslin H Collings","Leung Tony (Liang Chaowei(","Li Bin","Li Dalei","Li Danjun","Li Fengxu","Li Haixing","Li Hu","Li Lianjie (Jet Li)","Li Qiang","Li Shaofei","Li Tong","Li Xiaomeng","Li Yonggui","Li Yunlai","Liao Fan","Lin Dongpu","Lin Haihai","Lin Luqing","Lin Zi","Liu Di","Liu Guoxiang","Liu Hua","Liu Jin","Liu Junling","Liu Lijun","Liu Sha","Liu Xiaohui","Liu Xiaojie","Liu Xin","Liu Ye","Liu Yiwei","Liu Yuan","Liu Zifeng","Lu Jun","Lu Liping","Lu Zaiyun","Luo Jingmin","Luo Xiangjin","Ma Ji","Ma Shuchao","Ma Shuangqing","Ma Yuan","Ma Yue","Ma Zaijun","Mao Wei","Miao Pu","Min Zheng","Mou Hong","Ning Jing","Niu Piao","Niu Zhenhua","Qi Ke","Qian Zhi","Qiao Lisheng","Qiao Mi'ao","Qin Tai","Qiu Jiaying","Qiu Yuzhen","Qu Ying","Ruan Danning","Shao Weibin","She Nannan","Shen Aojun","Shi Xiaohong","Shi Xin","Su Qifeng","Su Wa","Sun Feihu","Sun Haiying","Sun Honglei","Sun Min","Sun Xing","Tan Xiaoyan","Tang Guoqiang","Tao Hong","Tao Zeru","Teng Rujun","Tong Dawei","Wang Baoqiang","Wang Beilong","Wang Bing","Wang Chaoqun","Wang Dazhi","Wang Dongjing","Wang Fuli","Wang Gang","Wang Huaying","Wang Jian","Wang Jinsong","Wang Jingqi","Wang Lan","Wang Lin","Wang Luyao","Wang Wufu","Wang Xuebing","Wang Xueqi","Wang Yi","Wang Yumei","Wang Zhiwen","Wen Qian","Wu Gang","Wu Junmei (Vivian Wu)","Wu Weiling","Wu Yue","Xia Gang","Xia Tian","Xiao Wenge","Xie Gang","Xie Wei","Xiu Zongdi","Xu Fan","Xu Haozhe","Xu Huanshan","Xu Lu","Xu Qing","Xu Xuezheng","Xu Zheng","Xue Han","Yan Hui","Yan Qingyu","Yang Bo","Yang Fengliang","Yang Huizhen","Yang Jiansheng","Yang Kun","Yang Lanfeng","Yang Po","Yang Shu","Yang Xiaodan","Yang Xiaoyong","Yang Yazhou","Yao Yinghua","Ye Jing","Ye Songqiao","Ye Xiaokeng","Yen Donnie (Zhen Zidan)","Ying Da","You Liping","You Yong","Yu Feihong","Zhang Erdan","Zhang Guoli","Zhang Hanyu","Zhang Jiayi","Zhang Jianhong","Zhang Jianya","Zhang Jingyun","Zhang Lu","Zhang Qiufang","Zhang Shen","Zhang Shi","Zhang Shizhong","Zhang Xiaotong","Zhang Yi","Zhang Ziyi","Zhao Baole","Zhao Ningyu","Zhao Wei","Zhao Xiaoshi","Zhao Xiuling","Zhao Xiuyun","Zhao Yong","Zhao Zhili","Zhao Zhiqiang","Zheng Chunyu","Zheng Yu","Zhong Xinghuo","Zhou Tao","Zhu Cihan","Zhu Chongyang","Zhu Daoxian","Zhu Lei","Zhu Yin","Zou Lei"
"Black Cannon Incident","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dislocation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Samsara","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stand Up Straight, Don't Bend Over!","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Wooden Man's Bride","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Back to Back, Face to Face","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Signal Left, Turn Right","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Surveillance","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xi'an's Finest","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Something about Secret","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
