"Film","prod_company_1","location_1","state/private_1","function_1","prod_company_2","location_2","state/private_2","function_2","prod_company_3","location_3","state/private_3","function_3","prod_company_4","location_4","state/private_4","function_4","prod_company_5","location_5","state/private_5","function_5","prod_company_6","location_6","state/private_6","function_6","prod_company_7","location_7","state/private_7","function_7","prod_company_8","location_8","state/private_8","function_8","prod_company_9","location_9","state/private_9","function_9","prod_company_10","location_10","state/private_10","function_10","prod_company_11","location_11","state/private_11","function_11","prod_company_12","location_12","state/private_12","function_12","prod_company_13","location_13","state/private_13","function_13","prod_company_14","location_14","state/private_14","function_14","prod_company_15","location_15","state/private_15","function_15","prod_company_16","location_16","state/private_16","function_16","prod_company_17","location_17","state/private_17","function_17","prod_company_18","location_18","state/private_18","function_18","prod_company_19","location_19","state/private_19","function_19","prod_company_20","location_20","state/private_20","function_20","prod_company_21","location_21","state/private_21","function_21","distribution_comp_1","location_d_1","state/private_d_1","distribution_comp_2","location_d_2","state/private_d_2","distribution_comp_3","location_d_3","state/private_d_3","distribution_comp_4","location_d_4","state/private_d_4","film_location_1","film_location_2","Comp_set_1","location_s_1","Comp_set_2","location_s_2","Comp_set_3","location_s_3","Comp_set_4","location_s_4","Comp_set_5","location_s_5","Comp_set_6","location_s_6","Comp_set_7","location_s_7"
"Black Cannon Incident","XAFS","Xi'an","state","production","MDP","Berlin","private","production","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","China Film Distribution and Exhibition Corporation (中国电影发行放映公司)","Beijing","state","0","0","0","0","0","0","0","0","0","Dalian (LN)","Anshan (LN)","大连重型机器厂","Dalian","鞍山矿山公司","Anshan","国营陕西第二针织厂","Xi'an","天津台扇厂","Tianjin","0","0","0","0","0","0"
"Dislocation","XAFS","Xi'an","state","production","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Nanhai Film (北京南海影业有限公司)","Beijing","private","0","0","0","0","0","0","0","0","0","Xi'an (SN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Samsara","XAFS","Xi'an","state","production","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GZBeauty (俏佳人有限公司)","Guangzhou","private","0","0","0","0","0","0","0","0","0","Beijing","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stand Up Straight, Don't Bend Over!","XAFS","Xi'an","state","production","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Qingdao (SD)","Xi'an (SN)","青岛华联商厦","Qingdao","高校木器厂","Xi'an","喜来登酒店","Xi'an","0","0","0","0","0","0","0","0"
"The Wooden Man's Bride","XAFS","Xi'an","state","production","TL","Tokyo","private","post_production_processing","NRS","Tokyo","private","audio mixing","MPP","Tokyo","private","subtitles","JFEC","Tokyo","private","dolby effect","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Long Shong International Co.Ltd. (龍祥國際股份有限公司)","Taipei (TW)","private","0","0","0","0","0","0","0","0","0","Yinchuan (NX)","0","宁夏西部影城","Yinchuan","宁夏秦剧团","Yinchuan","0","0","0","0","0","0","0","0","0","0"
"Back To Back, Face To Face","XAFS","Xi'an","state","production","SC","Hong Kong","private (Yang Yazhou)","production","FF","Tokyo","private","film stock","CFCPC.CFG","Beijing","state","Foreign Film co-Production","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Xi'an (SN)","0","Sun City Casino 太阳城娱乐有限公司","Xi'an","东方大酒店","Xi'an","陕西省人民政府研究室","Xi'an","社旗县古镇豫剧团","Sheqi Town (HN)","0","0","0","0","0","0"
"Signal Left, Turn Right","XAFS","Xi'an","state","production","XACCE","Xi'an","state","production","XATCA","Xi'an","private","sponsoring (of shooting)","BJFDVTF.CFG","Beijing","state","film copy processing","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Xi'an (SN)","Yinchuan (NX)","Xi'an Shangri La Hotel","Xi'an","宁夏西部影城","Yinchuan","西安皇城宾馆","Xi'an","西安丽苑茶廊","Xi'an","0","0","0","0","0","0"
"Surveillance","XXFS","Changsha","state","production","SXJFTP","Xi'an","private","production/distribution","BJDCA","Beijing","private","production","ETG","Qingdao","state","production","BJFDVTF.CFG","Beijing","state","film copy processing","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Qingdao (SD)","0","中国南方证券有限公司","Shenzhen","哈尔滨金衡有限公司","Harbin","海南金海岸罗顿大酒店有限公司","Haikou","广州艾琳化妆品有限公司","Guangzhou","Cheng Long International Group (成龙国际集团)","0","0","0","0","0"
"Xi'an's Finest","XAFS","Xi'an","state","production","XA.CP","Xi'an","state","production","BJFDVTF.CFG","Beijing","state","film copy processing","BJXIC","Beijing","private","finance","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gala Film Distribution Ltd.( 嘉樂影片發行有限公司)","Hong Kong","private","0","0","0","0","0","0","0","0","0","Xi'an (SN)","0","西安金花企业集团","Xi'an","西安热工研究所培训中心","Xi'an","西安市公安局特警大队","Xi'an","第四军医大学西京医院","Xi'an","中国人民解放军518医院","Xi'an","0","0","0","0"
"Something about Secret","ZJFS","Hangzhou","state","production","CSS","Shenzhen","private","finance","CFCPC.CFG","Beijing","state","Foreign Film co-Production","SHFTF","Shanghai","state","film copy processing","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mei Ah Entertainment","Hong Kong","private","0","0","0","0","0","0","0","0","0","Hangzhou (ZJ)","0","浙江大学附属邵逸夫医院","Hangzhou","杭州市城建开发集团","Hangzhou","浙江大学","Hangzhou","浙江省资源与环境信息系统重点实验室","Hangzhou","杭州市西子奥的斯电梯有限公司","Hangzhou","杭州金世界百货","Hangzhou","0","0"
