"Film","original title","release","director","co-director","assistant director","producer","associate producer (策划)","executive producer/ production plan","production supervisor/co-production","original text","screenwriter","cinematography","assistant cinematographer","editing/montage","editing/compiling","sound editing","music","art director","assistant art director","recording","lighting","make-up","costumes","props","set/ grip","sound effects","music performance","conductor","special effects","pyrotechnics","still","accounting","firearms","production assistance","director secretary","executive director","cinematorgrapher secretary","audio engineer","recording assistants","lighting assistants","make-up artists","costumes assistants","props","set/grip secretary","screenplay editor","editing assistants","continuity","translator","subtitles","music recording","midi","music lyrics","sound post-production","publicity supervisors","technical support","location","post-production","stage/set-runners","consultant","legal consultant","music mixer","public security consultant","animation director","animation design","animation cinematography","action choreography","action choreography assistant","utility","marketing","distribution","camera operators/assistants","casting director","musicians","music arrangement/lyrics","China Film Group production base office","CFG production base office pre-production","CFG production base office camera unit","CFG production base office lighting unit","CFG production base office post-production","CFG production base office post-production editing and sound","CFG production base office post-production dialogue coach","CFG production base office post-production re-recording mixers","CFG production base office post-production dialogue/effects/music editors/recordists","CFG production base office post-production foley","CFG production base office post-production converters","CFG production base office post-production VFX","CFG production base office post-production digital intermediate","CFG production base office post-production film scan and recording","CFG production base office post-production digital output","CFG production base office post-production film digital recovery","CFG production base office post-production technical support","CFG production base office post-production film title calligraphy","CFG production base office post-production MV editor"
"Black Cannon Incident","黑炮事件",1986,"Huang Jianxin","0","0","Cui Yisong, Duan Shutang","0","0","0","Zhang Xianliang","Li Wei","Wang Xinsheng, Feng Wei","0","Chen Dali","Li Bin","0","Zhu Shirui","Liu Yichuan","0","Li Lanhua","Zhao Beiguang","Yang Huaining","Zhang Li","Ning Daming","Liu Zhiren","Lu Shunfa","中央音乐学院小乐队 (Central Conservatory of Music Small Ensemble)","Shui Lan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dislocation","错位",1987,"Huang Jianxin","0","Han Bingjie","Zhao Wanmin","0","0","Zhao Wanmin","0","Huang Xin, Zhang Min","Wang Xinsheng","0","Zhang Xiaodong","0","0","Hanyong","Qian Yunxuan","Teng Jie","Gu Changning","Zhao Beiguang","Cheng Yin","Zhang Li","Ning Daming, Li Peng","Jia Linsheng","Lu Shunfa","CW音乐家演奏小组 (CW Musicians Performance Group)","Yu Long","Shang Yong, Yang Ruikang","Zeng Tianyang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Samsara","轮回",1988,"Huang Jianxin","0","Liu Huining","Zuo Runbei","0","0","Zhao Wanmin","Wang Shuo","Wang Shuo","Zhao Fei","Li Xiaoping","Zhang Xiaodong","Li Bin","0","Qu Xiaosong","Yang Gang","0","Tang Yuanping, Gu Changning","Zhao Beiguang","Cheng Yin","Xin Chunfang","Li Peng","Zhang Deqin","Yang Qian","BAY乐团 (BAY Band)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stand Up Straight, Don't Bend Over!","站直啰，别趴下",1993,"Huang Jianxin","0","Yang Yazhou","Ding Xiaopeng","0","0","0","Deng Gang","Huang Xin","Zhang Xiaoguang","Liu Xiaogang","Zhang Xiaodong","Chai Xiaofeng","0","0","Zhang Zili","Cao Anjun","Yan Jun, Dang Wang","Yao Zhuoxi, Wang Xiaoping","Cheng Yin","Yao Xiaohong, Ding Ni","Cui Qiu'an, Zhang Tongyan","Yang Jianping","0","西安音乐学院管弦乐队 (Xi'an Conservatory of Music Orchestra)","Zhang Dalong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Wooden Man's Bride","五魁",1993,"Huang Jianxin","0","Yang Yazhou, Yi Xiaozhong","Wang Yingxiang","0","Yu Shu, Li Xudong","Guo Musheng, Ding Xiaopeng","0","Yang Zhengguang","Zhang Xiaoguang","Zhu Shen","Lei Qin","0","0","Zhang Dalong","Teng Jie","Jiao Kezhang","Yan Jun","Yao Zhuoxi","Cheng Yin, Sun Wei","Du Longxi","Cui Qiu'an, Zhang Tongyan","Yang Jianping","Yang Xiaoqian","中国中央乐团 (China National Symphony Orchestra)","Hu Bingxu","0","Guo Yan","Cao Lingjiang","Li Jishou","Tian Linggong","Kang Yanping","Wang Weiguang, Ding Yue","0","Zhang Xiaobo, Chang Jingxiang, Zhang Minjie, Dong Yachang","Zhao Ping, Xue Jun","0","Jin Jianhua, Liu Wei, Guo Guimao, Zhao Bin, Xiang Bo","Jiang Jingyu","Liu Afeng, Sun Yaxing, Ma Ying","Bi Hu, Wang Xinmin","Jia Linsheng, Han Lao","0","0","He Xiaoming, Li Yongan, Li Xingqi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Back To Back, Face To Face","背靠背，脸对脸",1994,"Huang Jianxin","Yang Yazhou","Xu Xuezheng","Zhang Zhiliang, Cao Chengyuan, Li Xudong","Fan Jianxiong, Zhang Peimin","Ding Xiaopeng","0","Liu Xinglong","Huang Xin, Sun Yian","Zhang Xiaoguang, Zhu Shen","0","Lei Qin","0","0","Zhang Dalong","Li Xingzheng","0","Yan Jun","Yao Zhuoxi","Cheng Yin","Hai Xin","Cui Qiu'an","Li Xingqi","0","西安音乐学院管弦乐队 (Xi'an Conservatory of Music Orchestra)","Chi Zheng","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gilly Hutchinson","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Signal Left, Turn Right","红灯停，绿灯行",1996,"Huang Jianxin","Yang Yazhou","Yang Jiansheng","Li Xudong","0","Ding Xiaopeng","Bo Xiaochun","0","Ye Guangqin, Huang Xin","Ma Delin, Li Zhuang","0","Lei Qin","Wang Jicheng","0","Zhang Dalong","Cheng Lu","0","Yan Jun","Chen Yaguang","Chen Xiaochun","Chang Rongfang","Cui Qiu'an, Bi Hu","Li Xingqi","0","中央乐团交响乐队 (China National Symphony Orchestra)","Hu Bingxu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hao Jun","0","0","Zhang Zhengdi","Liang Hongqi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surveillance","埋伏",1997,"Huang Jianxin","Yang Yazhou","Bo Yucai","Kang Jianmin","He Xiaoming, Xu Ruqing","Shi Jiuhui, Zhao Fucheng, Niu Zhenhua, Bo Xiangbo, Tian Chunpu","Wu Yijian","Fang Fang","Sun Yi'an","Yang Wei","Ye Nanqiu","Lei Qin","Bu Yangui","0","Zhang Dalong","Teng Jie","Yi Chuan","Yan Jun","Guo Ping, Liu Yumao","Sun Wei, Xuan Sha","Yao Xiaohong, Tang Shuangwen","Zhang Yike","Liu Zhiren","0","中国爱乐乐团 (China Philharmonic Orchestra)","Hu Bingxu","0","Feng Renping","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Jin Dou","0","0","Zhang Zhengdi","Liang Hongqi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xi'an's Finest","睡不着",1998,"Huang Jianxin","Liu Huining","Liu Xin","Zhang Pimin","He Xiaoming, Zhao Lei","Li Weiren","Lu Yao, Hou Shengjun","Fan Dongfeng","Sun Yi'an, Fan Yi","Zhang Xiaoguang","Zhang Xiaobo","Lei Qin","Liu Rongrong","0","Zhang Dalong","Sun Baoxi","Yi Chuan","Yan Jun","Zhao Beiguang","Sun Wei","Liu Qingang","Yi Jianguo","Guo Zhengyi","Sun Yan","中国爱乐乐团 (China Philharmonic Orchestra)","Yu Feng","0","Qi Youshan","0","0","Wang Jiaqi","0","0","0","0","0","0","0","0","0","0","0","0","0","Cheng Taisheng","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Liu Ping","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Something about Secret","说出你的秘密",1999,"Huang Jianxin","0","Yang Jiang, Xu Zhelin","Xu Haibin","Min Zongsi","Ruan Ziming, Lu Jun","Fang Wen, Cheng Yudong, Fu Yuelin","0","Si Wu","Zhang Xiaoguang","Zhang Xiaobo","Lei Qin","Zheng Yi","0","Xiang Min","Teng Jie","0","Yan Jun","Zhao Beiguang","Zhang Shuguang","Nie Yaodi","Li Rusen","Zhang Bin","Yang Laixiang","中国国家交响乐团 (China National Symphony Orchestra)","0","0","0","0","0","0","0","0","0","0","Wang Enfeng","0","0","0","0","0","0","0","0","Liu Huidong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
